radio,mcc,mnc,Company,lac,cid,changeable_0,long,lat,range,sample,changeable_1,created,updated,avgsignal
LTE,405,857,Jio,20,3905317,0,73.797984,22.873118,1000,4,1,1541668541,1546687434,0
LTE,405,857,Jio,20,3905301,0,73.798815,22.870416,1000,3,1,1546666914,1546666914,0
LTE,405,857,Jio,20,697621,0,73.777351,22.822107,1000,1,1,1547031137,1547031137,0
LTE,405,857,Jio,21,618005,0,73.777397,22.82184,1000,1,1,1547031135,1547031135,0
LTE,405,857,Jio,64,1680400,0,71.272674,21.410375,1000,3,1,1536304133,1536304133,0
LTE,405,857,Jio,64,1680419,0,71.274139,21.410074,1000,1,1,1536304144,1536304144,0
LTE,405,857,Jio,64,1680402,0,71.273445,21.40943,1000,1,1,1536304592,1536304592,0
LTE,405,857,Jio,83,4005652,0,73.726166,21.838295,1000,2,1,1545225939,1545398355,0
LTE,405,857,Jio,83,4174355,0,73.726105,21.838016,1000,2,1,1545226002,1545398423,0
LTE,405,857,Jio,83,4174361,0,73.731213,21.835663,1000,2,1,1545226039,1545398369,0
LTE,405,857,Jio,83,4005682,0,73.738557,21.841909,1000,10,1,1545226279,1545398122,0
LTE,405,857,Jio,83,4195108,0,73.7288,21.848412,1000,11,1,1545226406,1545397912,0
LTE,405,857,Jio,83,4195091,0,73.7236,21.857093,1000,6,1,1545226515,1545316177,0
LTE,405,857,Jio,83,1893397,0,73.585623,21.969953,1664,5,1,1545238137,1545415788,0
LTE,405,857,Jio,17,235540,0,73.176712,22.310287,1000,1,1,1545266525,1545266525,0
LTE,405,857,Jio,18,866075,0,73.218468,22.339958,1000,1,1,1545270485,1545270485,0
LTE,405,857,Jio,17,235546,0,73.176575,22.310328,1000,1,1,1545266529,1545266529,0
LTE,405,857,Jio,18,866067,0,73.218638,22.340109,1000,3,1,1545270486,1665049317,0
LTE,405,857,Jio,18,2866965,0,73.217297,22.335423,1000,7,1,1545270432,1610777820,0
LTE,405,857,Jio,18,1606426,0,73.219953,22.34317,1000,9,1,1545270507,1610777707,0
LTE,405,857,Jio,18,1038613,0,73.226948,22.349438,1000,4,1,1545270559,1545367161,0
LTE,405,857,Jio,18,1038618,0,73.232858,22.350561,1000,37,1,1545270600,1611532793,0
LTE,405,857,Jio,18,1038612,0,73.239022,22.354768,1356,45,1,1545270637,1611532866,0
LTE,405,857,Jio,18,267797,0,73.24965,22.332855,1000,6,1,1545270792,1611532536,0
LTE,405,857,Jio,18,4338707,0,73.252396,22.329485,1000,1,1,1545270811,1545270811,0
LTE,405,857,Jio,18,4347411,0,73.253903,22.327108,1000,14,1,1545270835,1611532504,0
LTE,405,857,Jio,18,4338708,0,73.252704,22.328915,1000,5,1,1545270816,1610760272,0
LTE,405,857,Jio,18,4380688,0,73.255119,22.316906,1000,1,1,1545270884,1545270884,0
LTE,405,857,Jio,18,258321,0,73.255043,22.316092,1000,1,1,1545270888,1545270888,0
LTE,405,857,Jio,18,3516432,0,73.255016,22.31579,1000,2,1,1545270889,1545367479,0
LTE,405,857,Jio,18,2074899,0,73.254679,22.311977,1000,6,1,1545270894,1545367509,0
LTE,405,857,Jio,18,1389331,0,73.254997,22.317121,1000,13,1,1545270901,1611532471,0
LTE,405,857,Jio,18,4380693,0,73.254714,22.31233,1000,2,1,1545270905,1545367497,0
LTE,405,857,Jio,18,2074906,0,73.25442,22.308947,1000,11,1,1545270932,1611532412,0
LTE,405,857,Jio,18,2188052,0,73.254066,22.30315,1000,1,1,1545270957,1545270957,0
LTE,405,857,Jio,18,3656217,0,73.25397,22.302497,1000,8,1,1545270958,1611532381,0
LTE,405,857,Jio,18,1552153,0,73.25375,22.298043,1000,2,1,1545270992,1545367568,0
LTE,405,857,Jio,18,1552147,0,73.253774,22.300329,1000,4,1,1545270984,1611532354,0
LTE,405,857,Jio,18,1552148,0,73.253533,22.296779,1000,9,1,1545270999,1611532347,0
LTE,405,857,Jio,18,3656211,0,73.253624,22.296358,1000,2,1,1545271002,1545367593,0
LTE,405,857,Jio,16,1579545,0,73.253075,22.29266,1000,3,1,1545271020,1614425767,0
LTE,405,857,Jio,16,1579540,0,73.252523,22.291213,1000,4,1,1545271032,1614425777,0
LTE,405,857,Jio,16,1465108,0,73.247023,22.283187,1094,13,1,1545271069,1614425834,0
LTE,405,857,Jio,16,1537043,0,73.240293,22.275242,1000,11,1,1545271130,1614425897,0
LTE,405,857,Jio,16,1914131,0,73.244218,22.280287,1000,10,1,1545271089,1614425854,0
LTE,405,857,Jio,16,1537044,0,73.245451,22.271816,1000,3,1,1545271191,1545271226,0
LTE,405,857,Jio,18,4243220,0,73.248337,22.266634,1000,1,1,1545271237,1545271237,0
LTE,405,857,Jio,15,4057109,0,73.253136,22.260468,1000,1,1,1545271272,1545271272,0
LTE,405,857,Jio,15,4057125,0,73.248672,22.266123,1000,1,1,1545271240,1545271240,0
LTE,405,857,Jio,15,4057108,0,73.254158,22.259157,1000,1,1,1545271280,1545271280,0
LTE,405,857,Jio,15,1670165,0,73.260307,22.251139,1000,1,1,1545271330,1545271330,0
